,Unnamed: 0_x,Timestamp,Scope_x,Name_x,Source URL,Destination RSE,Destination URL,Rucio_Checksum,Destination_Checksum_x,Unnamed: 0_y,Name_y,Path,Size,Seal_Checksum,Destination_Checksum_y,status
296,387,"02/20/2024, 12:14:34 PM",data16_13TeV,DAOD_RPVLL.22357975._000114.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357975._000114.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/84/3c/DAOD_RPVLL.22357975._000114.pool.root.1,56c9593d,09ebb3a9,387,/rucio/data16_13TeV/DAOD_RPVLL.22357975._000114.pool.root.1,9969138739,9.969GB,56c9593d,09ebb3a9,Transfer Error
366,457,"02/20/2024, 11:02:05 AM",data16_13TeV,DAOD_RPVLL.22357975._000132.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357975._000132.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/03/41/DAOD_RPVLL.22357975._000132.pool.root.1,6c13b396,d1085d2c,457,/rucio/data16_13TeV/DAOD_RPVLL.22357975._000132.pool.root.1,9495747719,9.496GB,6c13b396,d1085d2c,Transfer Error
277,368,"02/20/2024, 12:37:45 PM",data16_13TeV,DAOD_RPVLL.22357975._000163.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357975._000163.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/16/86/DAOD_RPVLL.22357975._000163.pool.root.1,356356fb,7e2f82af,368,/rucio/data16_13TeV/DAOD_RPVLL.22357975._000163.pool.root.1,9011954304,9.012GB,356356fb,7e2f82af,Transfer Error
75,165,"02/20/2024, 05:18:41 PM",data16_13TeV,DAOD_RPVLL.22357975._000221.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357975._000221.pool.root.1?copy_mode=pull,BNL-OSG2_DATADISK,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/62/4f/DAOD_RPVLL.22357975._000221.pool.root.1,ed158436,c53d19f4,165,/rucio/data16_13TeV/DAOD_RPVLL.22357975._000221.pool.root.1,10027031312,10.03GB,ed158436,c53d19f4,Transfer Error
46,136,"02/20/2024, 05:43:17 PM",data16_13TeV,DAOD_RPVLL.22357975._000233.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357975._000233.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/41/78/DAOD_RPVLL.22357975._000233.pool.root.1,b2aa2ef7,295911e6,136,/rucio/data16_13TeV/DAOD_RPVLL.22357975._000233.pool.root.1,8221755100,8.222GB,b2aa2ef7,295911e6,Transfer Error
321,412,"02/20/2024, 11:36:04 AM",data16_13TeV,DAOD_RPVLL.22357987._000072.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357987._000072.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/d8/5b/DAOD_RPVLL.22357987._000072.pool.root.1,0ee634a8,4158c919,412,/rucio/data16_13TeV/DAOD_RPVLL.22357987._000072.pool.root.1,7911074060,7.911GB,0ee634a8,4158c919,Transfer Error
198,288,"02/20/2024, 02:25:22 PM",data16_13TeV,DAOD_RPVLL.22357987._000135.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357987._000135.pool.root.1?copy_mode=pull,BNL-OSG2_DATADISK,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/91/21/DAOD_RPVLL.22357987._000135.pool.root.1,a2bd5011,f57e6469,288,/rucio/data16_13TeV/DAOD_RPVLL.22357987._000135.pool.root.1,7754421311,7.754GB,a2bd5011,f57e6469,Transfer Error
387,478,"02/20/2024, 10:44:00 AM",data16_13TeV,DAOD_RPVLL.22357987._000141.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357987._000141.pool.root.1?copy_mode=pull,BNL-OSG2_DATADISK,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/bf/f1/DAOD_RPVLL.22357987._000141.pool.root.1,37510c4b,3985e5d5,478,/rucio/data16_13TeV/DAOD_RPVLL.22357987._000141.pool.root.1,9375888035,9.376GB,37510c4b,3985e5d5,Transfer Error
213,304,"02/20/2024, 01:49:05 PM",data16_13TeV,DAOD_RPVLL.22357987._000171.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357987._000171.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/c4/d8/DAOD_RPVLL.22357987._000171.pool.root.1,c5cdfeb1,6f9d26d3,304,/rucio/data16_13TeV/DAOD_RPVLL.22357987._000171.pool.root.1,7039747977,7.04GB,c5cdfeb1,6f9d26d3,Transfer Error
31,121,"02/20/2024, 05:56:32 PM",data16_13TeV,DAOD_RPVLL.22357987._000227.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357987._000227.pool.root.1?copy_mode=pull,BNL-OSG2_DATADISK,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/94/ba/DAOD_RPVLL.22357987._000227.pool.root.1,d6eb0169,df2a9991,121,/rucio/data16_13TeV/DAOD_RPVLL.22357987._000227.pool.root.1,9132780253,9.133GB,d6eb0169,df2a9991,Transfer Error
